controller,unified,endpoint,route,verb,requestLegacy,requestUnified,responseLegacy,responseUnified,authorization,metadata,legacyService,unifiedService,statusCodes,classification,compatibility,note
DocumentsController,UnifiedDocumentsController,Update,api/documents/{id:int},PUT,Int32 id default= ;UpdateDocumentRequestDTO request default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Int32 id default= ;UpdateDocumentRequestDTO request default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<DocumentResponseDTO>>>,Task<ActionResult<ServiceResult<DocumentResponseDTO>>>,"roles=superadmin,policy=,schemes=;","HttpPutAttribute:HttpMethods=PUT,Template={id:int},Order=0,Name=",IDocumentService.UpdateAsync,IUnifiedDocumentService.UpdateAsync,200;400;401;403;404;409;500 (ServiceResult),DIRECT,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
DocumentsController,UnifiedDocumentsController,ReplaceFile,api/documents/{id:int}/file,POST,Int32 id default= ;ReplaceDocumentFileRequestDTO request default= [Microsoft.AspNetCore.Mvc.FromFormAttribute()];CancellationToken ct default= ,Int32 id default= ;ReplaceDocumentFileRequestDTO request default= [Microsoft.AspNetCore.Mvc.FromFormAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<DocumentResponseDTO>>>,Task<ActionResult<ServiceResult<DocumentResponseDTO>>>,"roles=superadmin,policy=,schemes=;","ConsumesAttribute:ContentTypes=multipart/form-data,IsOptional=False;HttpPostAttribute:HttpMethods=POST,Template={id:int}/file,Order=0,Name=",IDocumentService.ReplaceFileAsync,IUnifiedDocumentService.ReplaceFileAsync,200;400;401;403;404;409;500 (ServiceResult),DIRECT,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
DocumentsController,UnifiedDocumentsController,Delete,api/documents/{id:int},DELETE,Int32 id default= ;CancellationToken ct default= ,Int32 id default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<Boolean>>>,Task<ActionResult<ServiceResult<Boolean>>>,"roles=superadmin,policy=,schemes=;","HttpDeleteAttribute:HttpMethods=DELETE,Template={id:int},Order=0,Name=",IDocumentService.DeleteAsync,IUnifiedDocumentService.DeleteAsync,200;400;401;403;404;409;500 (ServiceResult),DIRECT,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
DocumentsController,UnifiedDocumentsController,ViewContent,api/documents/{id:int}/content,GET,Int32 id default= ;CancellationToken ct default= ,Int32 id default= ;CancellationToken ct default= ,Task<ActionResult>,Task<ActionResult>,"roles=superadmin,policy=,schemes=;","HttpGetAttribute:HttpMethods=GET,Template={id:int}/content,Order=0,Name=",IDocumentService.GetContentAsync,IUnifiedDocumentService.GetContentAsync,200 binary;400;401;403;404;409;500,DIRECT,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
DocumentsController,UnifiedDocumentsController,Download,api/documents/{id:int}/download,GET,Int32 id default= ;CancellationToken ct default= ,Int32 id default= ;CancellationToken ct default= ,Task<ActionResult>,Task<ActionResult>,"roles=superadmin,policy=,schemes=;","HttpGetAttribute:HttpMethods=GET,Template={id:int}/download,Order=0,Name=",IDocumentService.GetContentAsync,IUnifiedDocumentService.GetContentAsync,200 binary;400;401;403;404;409;500,DIRECT,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
DocumentTypesController,UnifiedDocumentTypesController,List,api/documenttypes,GET,CancellationToken ct default= ,CancellationToken ct default= ,Task<ActionResult<ServiceResult<IReadOnlyList<CatalogListItemDTO>>>>,Task<ActionResult<ServiceResult<IReadOnlyList<CatalogListItemDTO>>>>,"roles=,policy=,schemes=;","HttpGetAttribute:HttpMethods=GET,Template=,Order=0,Name=",ICatalogCrudService<TEntity>.ListAsync,IUnifiedCatalogCrudService<TEntity>.ListAsync,200;400;401;403;404;409;500 (ServiceResult),ADAPTABLE,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
DocumentTypesController,UnifiedDocumentTypesController,GetById,api/documenttypes/{id:int},GET,Int32 id default= ;CancellationToken ct default= ,Int32 id default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<CatalogDetailDTO>>>,Task<ActionResult<ServiceResult<CatalogDetailDTO>>>,"roles=,policy=,schemes=;","HttpGetAttribute:HttpMethods=GET,Template={id:int},Order=0,Name=",ICatalogCrudService<TEntity>.GetByIdAsync,IUnifiedCatalogCrudService<TEntity>.GetByIdAsync,200;400;401;403;404;409;500 (ServiceResult),ADAPTABLE,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
DocumentTypesController,UnifiedDocumentTypesController,Create,api/documenttypes,POST,AddCatalogRequestDTO request default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,AddCatalogRequestDTO request default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<CatalogDetailDTO>>>,Task<ActionResult<ServiceResult<CatalogDetailDTO>>>,"roles=,policy=,schemes=;","HttpPostAttribute:HttpMethods=POST,Template=,Order=0,Name=",ICatalogCrudService<TEntity>.CreateAsync,IUnifiedCatalogCrudService<TEntity>.CreateAsync,200;400;401;403;404;409;500 (ServiceResult),ADAPTABLE,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
DocumentTypesController,UnifiedDocumentTypesController,Update,api/documenttypes/{id:int},PUT,Int32 id default= ;UpdateCatalogRequestDTO request default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Int32 id default= ;UpdateCatalogRequestDTO request default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<CatalogDetailDTO>>>,Task<ActionResult<ServiceResult<CatalogDetailDTO>>>,"roles=,policy=,schemes=;","HttpPutAttribute:HttpMethods=PUT,Template={id:int},Order=0,Name=",ICatalogCrudService<TEntity>.UpdateAsync,IUnifiedCatalogCrudService<TEntity>.UpdateAsync,200;400;401;403;404;409;500 (ServiceResult),ADAPTABLE,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
DocumentTypesController,UnifiedDocumentTypesController,Delete,api/documenttypes/{id:int},DELETE,Int32 id default= ;CancellationToken ct default= ,Int32 id default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<NoContent>>>,Task<ActionResult<ServiceResult<NoContent>>>,"roles=,policy=,schemes=;","HttpDeleteAttribute:HttpMethods=DELETE,Template={id:int},Order=0,Name=",ICatalogCrudService<TEntity>.DeleteAsync,IUnifiedCatalogCrudService<TEntity>.DeleteAsync,200;400;401;403;404;409;500 (ServiceResult),ADAPTABLE,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
ExportTemplatesController,UnifiedExportTemplatesController,GetFields,api/exporttemplates/fields,GET,CancellationToken ct default= ,CancellationToken ct default= ,Task<ActionResult<ServiceResult<IReadOnlyList<ExportFieldListItemDTO>>>>,Task<ActionResult<ServiceResult<IReadOnlyList<ExportFieldListItemDTO>>>>,"roles=superadmin,policy=,schemes=;","HttpGetAttribute:HttpMethods=GET,Template=fields,Order=0,Name=",IExportTemplateService.ListFieldsAsync,IUnifiedExportTemplateService.ListFieldsAsync,200;400;401;403;404;409;500 (ServiceResult),DIRECT,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
ExportTemplatesController,UnifiedExportTemplatesController,GetTemplates,api/exporttemplates,GET,CancellationToken ct default= ,CancellationToken ct default= ,Task<ActionResult<ServiceResult<IReadOnlyList<ExportTemplateListItemDTO>>>>,Task<ActionResult<ServiceResult<IReadOnlyList<ExportTemplateListItemDTO>>>>,"roles=superadmin,policy=,schemes=;","HttpGetAttribute:HttpMethods=GET,Template=,Order=0,Name=",IExportTemplateService.ListTemplatesAsync,IUnifiedExportTemplateService.ListTemplatesAsync,200;400;401;403;404;409;500 (ServiceResult),DIRECT,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
ExportTemplatesController,UnifiedExportTemplatesController,GetTemplate,api/exporttemplates/{id:int},GET,Int32 id default= ;CancellationToken ct default= ,Int32 id default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<ExportTemplateDetailDTO>>>,Task<ActionResult<ServiceResult<ExportTemplateDetailDTO>>>,"roles=superadmin,policy=,schemes=;","HttpGetAttribute:HttpMethods=GET,Template={id:int},Order=0,Name=",IExportTemplateService.GetTemplateAsync,IUnifiedExportTemplateService.GetTemplateAsync,200;400;401;403;404;409;500 (ServiceResult),DIRECT,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
ExportTemplatesController,UnifiedExportTemplatesController,CreateTemplate,api/exporttemplates,POST,ExportTemplateCreateRequestDTO body default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,ExportTemplateCreateRequestDTO body default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<ExportTemplateDetailDTO>>>,Task<ActionResult<ServiceResult<ExportTemplateDetailDTO>>>,"roles=superadmin,policy=,schemes=;","HttpPostAttribute:HttpMethods=POST,Template=,Order=0,Name=",IExportTemplateService.CreateTemplateAsync,IUnifiedExportTemplateService.CreateTemplateAsync,201 success;400;401;403;404;409;500 failure,DIRECT,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
ExportTemplatesController,UnifiedExportTemplatesController,UpdateTemplate,api/exporttemplates/{id:int},PUT,Int32 id default= ;ExportTemplateUpdateRequestDTO body default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Int32 id default= ;ExportTemplateUpdateRequestDTO body default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<ExportTemplateDetailDTO>>>,Task<ActionResult<ServiceResult<ExportTemplateDetailDTO>>>,"roles=superadmin,policy=,schemes=;","HttpPutAttribute:HttpMethods=PUT,Template={id:int},Order=0,Name=",IExportTemplateService.UpdateTemplateAsync,IUnifiedExportTemplateService.UpdateTemplateAsync,200;400;401;403;404;409;500 (ServiceResult),DIRECT,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
ExportTemplatesController,UnifiedExportTemplatesController,DeleteTemplate,api/exporttemplates/{id:int},DELETE,Int32 id default= ;CancellationToken ct default= ,Int32 id default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<NoContent>>>,Task<ActionResult<ServiceResult<NoContent>>>,"roles=superadmin,policy=,schemes=;","HttpDeleteAttribute:HttpMethods=DELETE,Template={id:int},Order=0,Name=",IExportTemplateService.DeleteTemplateAsync,IUnifiedExportTemplateService.DeleteTemplateAsync,200;400;401;403;404;409;500 (ServiceResult),DIRECT,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
ExportTemplatesController,UnifiedExportTemplatesController,ExportMatrixToExcel,api/exporttemplates/matrix-excel,POST,ExportByTemplateRequestDTO request default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,ExportByTemplateRequestDTO request default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Task<IActionResult>,Task<IActionResult>,"roles=superadmin,policy=,schemes=;","HttpPostAttribute:HttpMethods=POST,Template=matrix-excel,Order=0,Name=",IMatrixTemplateExcelExportService.GenerateExcelAsync,IUnifiedMatrixTemplateExcelExportService.GenerateExcelAsync,200 binary;400 (including unexpected);401;403;404;409,DIRECT,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
ExternalAcademicsController,UnifiedExternalAcademicsController,GetFacultiesWithPrograms,api/external/externalacademics/faculties,GET,CancellationToken ct default= ,CancellationToken ct default= ,Task<ActionResult<ServiceResult<List<ExternalFacultyDTO>>>>,Task<ActionResult<ServiceResult<List<ExternalFacultyDTO>>>>,"roles=superadmin,policy=,schemes=;","HttpGetAttribute:HttpMethods=GET,Template=faculties,Order=0,Name=",IExternalAcademicsService.GetFacultiesWithProgramsAsync,IExternalAcademicsService.GetFacultiesWithProgramsAsync,200;400;401;403;404;409;500 (ServiceResult),DIRECT,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
ExternalPeriodsController,UnifiedExternalPeriodsController,GetAll,api/external/externalperiods,GET,CancellationToken ct default= ,CancellationToken ct default= ,Task<ActionResult<ServiceResult<IReadOnlyList<ExternalAcademicPeriodModel>>>>,Task<ActionResult<ServiceResult<IReadOnlyList<ExternalAcademicPeriodModel>>>>,"roles=superadmin,policy=,schemes=;","HttpGetAttribute:HttpMethods=GET,Template=,Order=0,Name=",IExternalPeriodsClient.GetAllAsync,IExternalPeriodsClient.GetAllAsync,200;400;401;403;404;409;500 (ServiceResult),DIRECT,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
ExternalResearcherProjectsController,UnifiedExternalResearcherProjectsController,GetByProject,api/externalresearcherprojects/by-project/{projectId:int},GET,Int32 projectId default= ;CancellationToken ct default= ,Int32 projectId default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<IReadOnlyList<ExternalResearcherProjectListItemDTO>>>>,Task<ActionResult<ServiceResult<IReadOnlyList<ExternalResearcherProjectListItemDTO>>>>,;,"HttpGetAttribute:HttpMethods=GET,Template=by-project/{projectId:int},Order=0,Name=",IExternalResearcherProjectService.ListByProjectAsync,IExternalResearcherProjectService.ListByProjectAsync,200;400;401;403;404;409;500 (ServiceResult),DIRECT,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
ExternalResearcherProjectsController,UnifiedExternalResearcherProjectsController,GetById,api/externalresearcherprojects/{id:int},GET,Int32 id default= ;CancellationToken ct default= ,Int32 id default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<ExternalResearcherProjectDetailDTO>>>,Task<ActionResult<ServiceResult<ExternalResearcherProjectDetailDTO>>>,;,"HttpGetAttribute:HttpMethods=GET,Template={id:int},Order=0,Name=",IExternalResearcherProjectService.GetByIdAsync,IExternalResearcherProjectService.GetByIdAsync,200;400;401;403;404;409;500 (ServiceResult),DIRECT,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
ExternalResearcherProjectsController,UnifiedExternalResearcherProjectsController,Create,api/externalresearcherprojects,POST,ExternalResearcherProjectCreateRequestDTO body default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,ExternalResearcherProjectCreateRequestDTO body default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<ExternalResearcherProjectDetailDTO>>>,Task<ActionResult<ServiceResult<ExternalResearcherProjectDetailDTO>>>,;,"HttpPostAttribute:HttpMethods=POST,Template=,Order=0,Name=",IExternalResearcherProjectService.CreateAsync,IExternalResearcherProjectService.CreateAsync,200;400;401;403;404;409;500 (ServiceResult),DIRECT,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
ExternalResearcherProjectsController,UnifiedExternalResearcherProjectsController,Update,api/externalresearcherprojects/{id:int},PUT,Int32 id default= ;ExternalResearcherProjectUpdateRequestDTO body default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Int32 id default= ;ExternalResearcherProjectUpdateRequestDTO body default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<ExternalResearcherProjectDetailDTO>>>,Task<ActionResult<ServiceResult<ExternalResearcherProjectDetailDTO>>>,;,"HttpPutAttribute:HttpMethods=PUT,Template={id:int},Order=0,Name=",IExternalResearcherProjectService.UpdateAsync,IExternalResearcherProjectService.UpdateAsync,200;400;401;403;404;409;500 (ServiceResult),DIRECT,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
ExternalResearchersController,UnifiedExternalResearchersController,List,api/externalresearchers,GET,String term default= [Microsoft.AspNetCore.Mvc.FromQueryAttribute()];Nullable<Int32> institutionId default= [Microsoft.AspNetCore.Mvc.FromQueryAttribute()];CancellationToken ct default= ,String term default= [Microsoft.AspNetCore.Mvc.FromQueryAttribute()];Nullable<Int32> institutionId default= [Microsoft.AspNetCore.Mvc.FromQueryAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<IReadOnlyList<ExternalResearcherListItemDTO>>>>,Task<ActionResult<ServiceResult<IReadOnlyList<ExternalResearcherListItemDTO>>>>,"roles=superadmin,policy=,schemes=;","HttpGetAttribute:HttpMethods=GET,Template=,Order=0,Name=",IExternalResearcherService.ListAsync,IExternalResearcherService.ListAsync,200;400;401;403;404;409;500 (ServiceResult),DIRECT,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
ExternalResearchersController,UnifiedExternalResearchersController,GetById,api/externalresearchers/{id:int},GET,Int32 id default= ;CancellationToken ct default= ,Int32 id default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<ExternalResearcherDetailDTO>>>,Task<ActionResult<ServiceResult<ExternalResearcherDetailDTO>>>,"roles=superadmin,policy=,schemes=;","HttpGetAttribute:HttpMethods=GET,Template={id:int},Order=0,Name=",IExternalResearcherService.GetByIdAsync,IExternalResearcherService.GetByIdAsync,200;400;401;403;404;409;500 (ServiceResult),DIRECT,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
ExternalResearchersController,UnifiedExternalResearchersController,GetKeyValues,api/externalresearchers/keyvalues,GET,String term default= [Microsoft.AspNetCore.Mvc.FromQueryAttribute()];Nullable<Int32> institutionId default= [Microsoft.AspNetCore.Mvc.FromQueryAttribute()];Nullable<Int32> take default= [Microsoft.AspNetCore.Mvc.FromQueryAttribute()];CancellationToken ct default= ,String term default= [Microsoft.AspNetCore.Mvc.FromQueryAttribute()];Nullable<Int32> institutionId default= [Microsoft.AspNetCore.Mvc.FromQueryAttribute()];Nullable<Int32> take default= [Microsoft.AspNetCore.Mvc.FromQueryAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<List<KeyValueItemDTO>>>>,Task<ActionResult<ServiceResult<List<KeyValueItemDTO>>>>,"roles=superadmin,policy=,schemes=;","HttpGetAttribute:HttpMethods=GET,Template=keyvalues,Order=0,Name=",IExternalResearcherService.GetKeyValuesAsync,IExternalResearcherService.GetKeyValuesAsync,200;400;401;403;404;409;500 (ServiceResult),DIRECT,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
ExternalResearchersController,UnifiedExternalResearchersController,Create,api/externalresearchers,POST,ExternalResearcherCreateRequestDTO body default= ;CancellationToken ct default= ,ExternalResearcherCreateRequestDTO body default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<ExternalResearcherDetailDTO>>>,Task<ActionResult<ServiceResult<ExternalResearcherDetailDTO>>>,"roles=superadmin,policy=,schemes=;","HttpPostAttribute:HttpMethods=POST,Template=,Order=0,Name=",IExternalResearcherService.CreateAsync,IExternalResearcherService.CreateAsync,200;400;401;403;404;409;500 (ServiceResult),DIRECT,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
ExternalResearchersController,UnifiedExternalResearchersController,Update,api/externalresearchers/{id:int},PUT,Int32 id default= ;ExternalResearcherUpdateRequestDTO body default= ;CancellationToken ct default= ,Int32 id default= ;ExternalResearcherUpdateRequestDTO body default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<ExternalResearcherDetailDTO>>>,Task<ActionResult<ServiceResult<ExternalResearcherDetailDTO>>>,"roles=superadmin,policy=,schemes=;","HttpPutAttribute:HttpMethods=PUT,Template={id:int},Order=0,Name=",IExternalResearcherService.UpdateAsync,IExternalResearcherService.UpdateAsync,200;400;401;403;404;409;500 (ServiceResult),DIRECT,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
FacultyScopesController,UnifiedFacultyScopesController,GetAll,api/facultyscopes,GET,Boolean includeAssignments default=False [Microsoft.AspNetCore.Mvc.FromQueryAttribute()];CancellationToken ct default= ,Boolean includeAssignments default=False [Microsoft.AspNetCore.Mvc.FromQueryAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<IReadOnlyList<FacultyScopeResponseDTO>>>>,Task<ActionResult<ServiceResult<IReadOnlyList<FacultyScopeResponseDTO>>>>,"roles=superadmin,policy=,schemes=;","HttpGetAttribute:HttpMethods=GET,Template=,Order=0,Name=",IFacultyScopeService.GetAllAsync,IUnifiedFacultyScopeService.GetAllAsync,200;400;401;403;404;409;500 (ServiceResult),CONTRACT_CHANGE,FRONTEND_IMPACT,FacultyId/allowed IDs now local. External selections must use ExternalFacultyId from shared response; never send a local FacultyId as external. Existing DTO is sufficient.
FacultyScopesController,UnifiedFacultyScopesController,GetById,api/facultyscopes/{id:int},GET,Int32 id default= ;Boolean includeAssignments default=False [Microsoft.AspNetCore.Mvc.FromQueryAttribute()];CancellationToken ct default= ,Int32 id default= ;Boolean includeAssignments default=False [Microsoft.AspNetCore.Mvc.FromQueryAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<FacultyScopeResponseDTO>>>,Task<ActionResult<ServiceResult<FacultyScopeResponseDTO>>>,"roles=superadmin,policy=,schemes=;","HttpGetAttribute:HttpMethods=GET,Template={id:int},Order=0,Name=",IFacultyScopeService.GetByIdAsync,IUnifiedFacultyScopeService.GetByIdAsync,200;400;401;403;404;409;500 (ServiceResult),CONTRACT_CHANGE,FRONTEND_IMPACT,FacultyId/allowed IDs now local. External selections must use ExternalFacultyId from shared response; never send a local FacultyId as external. Existing DTO is sufficient.
FacultyScopesController,UnifiedFacultyScopesController,Create,api/facultyscopes,POST,CreateFacultyScopeRequestDTO request default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,CreateFacultyScopeRequestDTO request default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<FacultyScopeResponseDTO>>>,Task<ActionResult<ServiceResult<FacultyScopeResponseDTO>>>,"roles=superadmin,policy=,schemes=;","HttpPostAttribute:HttpMethods=POST,Template=,Order=0,Name=",IFacultyScopeService.CreateAsync,IUnifiedFacultyScopeService.CreateAsync,200;400;401;403;404;409;500 (ServiceResult),CONTRACT_CHANGE,FRONTEND_IMPACT,FacultyId/allowed IDs now local. External selections must use ExternalFacultyId from shared response; never send a local FacultyId as external. Existing DTO is sufficient.
FacultyScopesController,UnifiedFacultyScopesController,Update,api/facultyscopes/{id:int},PUT,Int32 id default= ;UpdateFacultyScopeRequestDTO request default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Int32 id default= ;UpdateFacultyScopeRequestDTO request default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<FacultyScopeResponseDTO>>>,Task<ActionResult<ServiceResult<FacultyScopeResponseDTO>>>,"roles=superadmin,policy=,schemes=;","HttpPutAttribute:HttpMethods=PUT,Template={id:int},Order=0,Name=",IFacultyScopeService.UpdateAsync,IUnifiedFacultyScopeService.UpdateAsync,200;400;401;403;404;409;500 (ServiceResult),CONTRACT_CHANGE,FRONTEND_IMPACT,FacultyId/allowed IDs now local. External selections must use ExternalFacultyId from shared response; never send a local FacultyId as external. Existing DTO is sufficient.
FacultyScopesController,UnifiedFacultyScopesController,SetFaculties,api/facultyscopes/{id:int}/faculties,PUT,Int32 id default= ;SetFacultyScopeFacultiesRequestDTO request default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Int32 id default= ;SetFacultyScopeFacultiesRequestDTO request default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<FacultyScopeResponseDTO>>>,Task<ActionResult<ServiceResult<FacultyScopeResponseDTO>>>,"roles=superadmin,policy=,schemes=;","HttpPutAttribute:HttpMethods=PUT,Template={id:int}/faculties,Order=0,Name=",IFacultyScopeService.SetFacultiesAsync,IUnifiedFacultyScopeService.SetFacultiesAsync,200;400;401;403;404;409;500 (ServiceResult),CONTRACT_CHANGE,FRONTEND_IMPACT,FacultyId/allowed IDs now local. External selections must use ExternalFacultyId from shared response; never send a local FacultyId as external. Existing DTO is sufficient.
FacultyScopesController,UnifiedFacultyScopesController,Assign,api/facultyscopes/{facultyScopeId:int}/assign,POST,Int32 facultyScopeId default= ;AssignFacultyScopeUserRequestDTO request default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Int32 facultyScopeId default= ;AssignFacultyScopeUserRequestDTO request default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<Boolean>>>,Task<ActionResult<ServiceResult<Boolean>>>,"roles=superadmin,policy=,schemes=;","HttpPostAttribute:HttpMethods=POST,Template={facultyScopeId:int}/assign,Order=0,Name=",IFacultyScopeService.AssignScopeToUserAsync,IUnifiedFacultyScopeService.AssignScopeToUserAsync,200;400;401;403;404;409;500 (ServiceResult),IDENTITY_BOUNDARY,INTENTIONAL_CHANGE,Unified Identity boundary may return explicit mapping/role/pending-change failures using unchanged ServiceResult error contract.
FacultyScopesController,UnifiedFacultyScopesController,UnassignScopeFromUser,api/facultyscopes/{id:int}/assign/{userId:int},DELETE,Int32 id default= ;Int32 userId default= ;CancellationToken ct default= ,Int32 id default= ;Int32 userId default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<Boolean>>>,Task<ActionResult<ServiceResult<Boolean>>>,"roles=superadmin,policy=,schemes=;","HttpDeleteAttribute:HttpMethods=DELETE,Template={id:int}/assign/{userId:int},Order=0,Name=",IFacultyScopeService.UnassignScopeFromUserAsync,IUnifiedFacultyScopeService.UnassignScopeFromUserAsync,200;400;401;403;404;409;500 (ServiceResult),ADAPTABLE,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
FacultyScopesController,UnifiedFacultyScopesController,GetAllowedFacultiesForUser,api/facultyscopes/users/{userId:int}/allowed-faculties,GET,Int32 userId default= ;CancellationToken ct default= ,Int32 userId default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<IReadOnlyList<Int32>>>>,Task<ActionResult<ServiceResult<IReadOnlyList<Int32>>>>,"roles=superadmin,policy=,schemes=;","HttpGetAttribute:HttpMethods=GET,Template=users/{userId:int}/allowed-faculties,Order=0,Name=",IFacultyScopeService.GetAllowedFacultyIdsForUserAsync,IUnifiedFacultyScopeService.GetAllowedFacultyIdsForUserAsync,200;400;401;403;404;409;500 (ServiceResult),CONTRACT_CHANGE,FRONTEND_IMPACT,"FacultyId/allowed IDs now local. External selections must use ExternalFacultyId from shared response; never send a local FacultyId as external. Existing DTO is sufficient. Existing behavior still resolves current actor, ignoring route userId; no business fix in this phase."
